АВС/ DEF;От;До;Емкость;Оператор;Регион
301;3797100;3797199;100;Ростелеком;Закаменский |Республика Бурятия
301;3798100;3798299;200;Ростелеком;Закаменский |Республика Бурятия
301;3799100;3799199;100;Ростелеком;Закаменский |Республика Бурятия
301;3833400;3833499;100;Ростелеком;Кабанский |Республика Бурятия
301;3833500;3833550;51;Ростелеком;Кабанский |Республика Бурятия
301;3840000;3842049;2050;Ростелеком;Кабанский |Республика Бурятия
301;3843000;3843399;400;Ростелеком;Кабанский |Республика Бурятия
301;3843500;3843549;50;Ростелеком;Кабанский |Республика Бурятия
301;3870000;3871023;1024;Ростелеком;Кабанский |Республика Бурятия
301;3873000;3876900;3901;Ростелеком;Кабанский |Республика Бурятия
301;3877000;3879799;2800;Ростелеком;Кабанский |Республика Бурятия
301;3891000;3891999;1000;Ростелеком;Кабанский |Республика Бурятия
301;3892100;3892396;297;Ростелеком;Кабанский |Республика Бурятия
301;3892400;3892859;460;Ростелеком;Кабанский |Республика Бурятия
301;3892900;3894859;1960;Ростелеком;Кабанский |Республика Бурятия
301;3894900;3894959;60;Ростелеком;Кабанский |Республика Бурятия
301;3895000;3895699;700;Ростелеком;Кабанский |Республика Бурятия
301;3932000;3933999;2000;Российские железные дороги;Северобайкальск |Республика Бурятия
301;4021000;4021399;400;Ростелеком;Иволгинский |Республика Бурятия
301;4021400;4021421;22;Ростелеком;Иволгинский |Республика Бурятия
301;4021600;4021999;400;Ростелеком;Иволгинский |Республика Бурятия
301;4022100;4022599;500;Ростелеком;Иволгинский |Республика Бурятия
301;4023300;4023799;500;Ростелеком;Иволгинский |Республика Бурятия
301;4024100;4024699;600;Ростелеком;Иволгинский |Республика Бурятия
301;4025100;4025399;300;Ростелеком;Иволгинский |Республика Бурятия
301;4026100;4026199;100;Ростелеком;Иволгинский |Республика Бурятия
301;4026300;4026499;200;Ростелеком;Иволгинский |Республика Бурятия
301;4026610;4026659;50;Ростелеком;Иволгинский |Республика Бурятия
301;4027100;4027199;100;Ростелеком;Иволгинский |Республика Бурятия
301;4028100;4028149;50;Ростелеком;Иволгинский |Республика Бурятия
301;4028150;4028249;100;"Красноярское конструкторское бюро ""Искра""";Иволгинский |Республика Бурятия
301;4041000;4041299;300;Ростелеком;Иволгинский |Республика Бурятия
301;4130000;4130149;150;Ростелеком;Кижингинский |Республика Бурятия
301;4130150;4130171;22;Ростелеком;Кижингинский |Республика Бурятия
301;4131300;4131399;100;Ростелеком;Кижингинский |Республика Бурятия
301;4132000;4132999;1000;Ростелеком;Кижингинский |Республика Бурятия
301;4133100;4133299;200;Ростелеком;Кижингинский |Республика Бурятия
301;4134300;4134499;200;Ростелеком;Кижингинский |Республика Бурятия
301;4135300;4135499;200;Ростелеком;Кижингинский |Республика Бурятия
301;4136500;4136599;100;Ростелеком;Кижингинский |Республика Бурятия
301;4136900;4136999;100;Ростелеком;Кижингинский |Республика Бурятия
301;4137300;4137399;100;Ростелеком;Кижингинский |Республика Бурятия
301;4138100;4138599;500;Ростелеком;Кижингинский |Республика Бурятия
301;4139300;4139359;60;Ростелеком;Кижингинский |Республика Бурятия
301;4139410;4139699;290;Ростелеком;Кижингинский |Республика Бурятия
301;4139810;4139859;50;Ростелеком;Кижингинский |Республика Бурятия
301;4231310;4231359;50;Ростелеком;Кяхтинский |Республика Бурятия
301;4231400;4231499;100;Ростелеком;Кяхтинский |Республика Бурятия
301;4231500;4231541;42;Ростелеком;Кяхтинский |Республика Бурятия
301;4232100;4232249;150;Ростелеком;Кяхтинский |Республика Бурятия
301;4233000;4233049;50;Ростелеком;Кяхтинский |Республика Бурятия
301;4233100;4233199;100;Ростелеком;Кяхтинский |Республика Бурятия
301;4234050;4234199;150;Ростелеком;Кяхтинский |Республика Бурятия
301;4235500;4235649;150;Ростелеком;Кяхтинский |Республика Бурятия
301;4236100;4236199;100;Ростелеком;Кяхтинский |Республика Бурятия
301;4237100;4237299;200;Ростелеком;Кяхтинский |Республика Бурятия
301;4238110;4238199;90;Ростелеком;Кяхтинский |Республика Бурятия
301;4241000;4241349;350;Ростелеком;Кяхтинский |Республика Бурятия
301;4245510;4245559;50;Ростелеком;Кяхтинский |Республика Бурятия
301;4245600;4246049;450;Ростелеком;Кяхтинский |Республика Бурятия
301;4290600;4290899;300;Ростелеком;Кяхтинский |Республика Бурятия
301;4291000;4293999;3000;Ростелеком;Кяхтинский |Республика Бурятия
301;4294600;4294999;400;Ростелеком;Кяхтинский |Республика Бурятия
301;4295200;4295549;350;Ростелеком;Кяхтинский |Республика Бурятия
301;4296200;4296399;200;Ростелеком;Кяхтинский |Республика Бурятия
301;4297050;4297599;550;Ростелеком;Кяхтинский |Республика Бурятия
301;4298100;4298299;200;Ростелеком;Кяхтинский |Республика Бурятия
301;4298300;4298349;50;Ростелеком;Тарбагатайский |Республика Бурятия
301;4299400;4299599;200;Ростелеком;Кяхтинский |Республика Бурятия
301;4321000;4324549;3550;Ростелеком;Мухоршибирский |Республика Бурятия
301;4324550;4324578;29;Ростелеком;Мухоршибирский |Республика Бурятия
301;4325100;4325149;50;Ростелеком;Мухоршибирский |Республика Бурятия
301;4325300;4325399;100;Ростелеком;Мухоршибирский |Республика Бурятия
301;4325500;4325799;300;Ростелеком;Мухоршибирский |Республика Бурятия
301;4326300;4326849;550;Ростелеком;Мухоршибирский |Республика Бурятия
301;4327100;4327149;50;Ростелеком;Мухоршибирский |Республика Бурятия
301;4327300;4327699;400;Ростелеком;Мухоршибирский |Республика Бурятия
301;4327900;4327949;50;Ростелеком;Мухоршибирский |Республика Бурятия
301;4328100;4328199;100;Ростелеком;Мухоршибирский |Республика Бурятия
301;4328300;4328449;150;Ростелеком;Мухоршибирский |Республика Бурятия
301;4328500;4328599;100;Ростелеком;Мухоршибирский |Республика Бурятия
301;4328700;4328799;100;Ростелеком;Мухоршибирский |Республика Бурятия
301;4329300;4329749;450;Ростелеком;Мухоршибирский |Республика Бурятия
301;4441000;4442249;1250;Ростелеком;Прибайкальский |Республика Бурятия
301;4442250;4442281;32;Ростелеком;Прибайкальский |Республика Бурятия
301;4451000;4452299;1300;Ростелеком;Прибайкальский |Республика Бурятия
301;4453000;4454049;1050;Ростелеком;Прибайкальский |Республика Бурятия
301;4454400;4455599;1200;Ростелеком;Прибайкальский |Республика Бурятия
301;4456100;4456399;300;Ростелеком;Прибайкальский |Республика Бурятия
301;4456600;4456849;250;Ростелеком;Прибайкальский |Республика Бурятия
301;4457300;4457349;50;Ростелеком;Прибайкальский |Республика Бурятия
301;4457360;4457499;140;Ростелеком;Прибайкальский |Республика Бурятия
301;4457600;4457849;250;Ростелеком;Прибайкальский |Республика Бурятия
301;4458000;4458249;250;Ростелеком;Прибайкальский |Республика Бурятия
301;4458300;4458449;150;Ростелеком;Прибайкальский |Республика Бурятия
301;4458500;4458999;500;Ростелеком;Прибайкальский |Республика Бурятия
301;4459100;4459449;350;Ростелеком;Прибайкальский |Республика Бурятия
301;4459500;4459949;450;Ростелеком;Прибайкальский |Республика Бурятия
301;4541000;4545999;5000;Ростелеком;Гусиноозерск |Республика Бурятия
301;4594000;4594033;34;Ростелеком;Селенгинский |Республика Бурятия
301;4594100;4594299;200;Ростелеком;Селенгинский |Республика Бурятия
301;4594310;4594359;50;Ростелеком;Селенгинский |Республика Бурятия
301;4594400;4594449;50;Ростелеком;Гусиноозерск |Республика Бурятия
301;4594600;4594759;160;Ростелеком;Селенгинский |Республика Бурятия
301;4594800;4594899;100;Ростелеком;Селенгинский |Республика Бурятия
301;4595100;4595699;600;Ростелеком;Гусиноозерск |Республика Бурятия
301;4596511;4596830;320;Ростелеком;Селенгинский |Республика Бурятия
301;4597300;4597899;600;Ростелеком;Селенгинский |Республика Бурятия
301;4598100;4598399;300;Ростелеком;Селенгинский |Республика Бурятия
301;4598400;4598499;100;Ростелеком;Гусиноозерск |Республика Бурятия
301;4598500;4598659;160;Ростелеком;Селенгинский |Республика Бурятия
301;4598710;4598759;50;Ростелеком;Селенгинский |Республика Бурятия
301;4598900;4598999;100;Ростелеком;Селенгинский |Республика Бурятия
301;4599050;4599199;150;Ростелеком;Селенгинский |Республика Бурятия
301;4599200;4599249;50;Ростелеком;Гусиноозерск |Республика Бурятия
301;4599300;4599599;300;Ростелеком;Селенгинский |Республика Бурятия
